timestamp,window,threshold,kmer,metric,f1_score
2026-01-25T21:36:22.995,0.002,0.5,7,manhattan,0.9981
2026-01-25T21:36:29.344,0.002,0.55,7,manhattan,0.9998
2026-01-25T21:36:35.55,0.002,0.5996,7,manhattan,0.9999
2026-01-25T21:36:41.529,0.002,0.6494,7,manhattan,0.9989
2026-01-25T21:36:47.382,0.002,0.699,7,manhattan,0.9998
2026-01-25T21:36:53.258,0.002,0.749,7,manhattan,0.9995
2026-01-25T21:36:59.17,0.002,0.799,7,manhattan,0.9999
2026-01-25T21:37:05.069,0.0025000002,0.5,7,manhattan,0.9998
2026-01-25T21:37:11.103,0.0025000002,0.55,7,manhattan,0.9998
2026-01-25T21:37:17.051,0.0025000002,0.5996,7,manhattan,0.9999
2026-01-25T21:37:23.072,0.0025000002,0.6494,7,manhattan,0.9996
2026-01-25T21:37:29.011,0.0025000002,0.699,7,manhattan,0.9994
2026-01-25T21:37:34.905,0.0025000002,0.749,7,manhattan,0.9998
2026-01-25T21:37:40.929,0.0025000002,0.799,7,manhattan,0.9996
