timestamp,window,threshold,kmer,metric,f1_score
2026-01-11T17:15:43.306,0.001,0.5,7,manhattan,0.9379
2026-01-11T17:21:18.904,0.001,0.55,7,manhattan,0.9538
2026-01-11T17:26:52.264,0.001,0.5996,7,manhattan,0.9763
2026-01-11T17:32:15.848,0.001,0.6494,7,manhattan,0.9272
2026-01-11T17:37:42.412,0.001,0.699,7,manhattan,0.9536
2026-01-11T17:43:00.336,0.001,0.749,7,manhattan,0.9564
2026-01-11T17:48:16.862,0.001,0.799,7,manhattan,0.9731
2026-01-11T17:54:22.732,0.0015,0.5,7,manhattan,0.9368
2026-01-11T18:00:43.62,0.0015,0.55,7,manhattan,0.9698
2026-01-11T18:06:35.988,0.0015,0.5996,7,manhattan,0.956
2026-01-11T18:12:29.993,0.0015,0.6494,7,manhattan,0.9308
2026-01-11T18:18:27.556,0.0015,0.699,7,manhattan,0.9432
2026-01-11T18:24:10.821,0.0015,0.749,7,manhattan,0.9638
2026-01-11T18:29:55.16,0.0015,0.799,7,manhattan,0.9576
2026-01-11T18:36:05.438,0.002,0.5,7,manhattan,0.9757
2026-01-11T18:42:07.774,0.002,0.55,7,manhattan,0.9774
2026-01-11T18:48:06.009,0.002,0.5996,7,manhattan,0.9486
2026-01-11T18:54:09.831,0.002,0.6494,7,manhattan,0.8994
2026-01-11T19:00:03.965,0.002,0.699,7,manhattan,0.9061
2026-01-11T19:06:02.375,0.002,0.749,7,manhattan,0.9503
2026-01-11T19:12:08.763,0.002,0.799,7,manhattan,0.9814
2026-01-11T19:18:20.682,0.0025000002,0.5,7,manhattan,0.942
2026-01-11T19:24:25.808,0.0025000002,0.55,7,manhattan,0.9776
2026-01-11T19:30:20.183,0.0025000002,0.5996,7,manhattan,0.9638
2026-01-11T19:36:07.428,0.0025000002,0.6494,7,manhattan,0.8918
2026-01-11T19:42:11.749,0.0025000002,0.699,7,manhattan,0.9807
2026-01-11T19:48:07.475,0.0025000002,0.749,7,manhattan,0.9274
2026-01-11T19:54:32.268,0.0025000002,0.799,7,manhattan,0.9142
