timestamp,window,threshold,kmer,metric,f1_score
2025-12-29T21:59:41.526,0.0015,0.5,7,manhattan,0.8888
2025-12-29T22:00:58.722,0.0015,0.55,7,manhattan,0.9178
2025-12-29T22:02:10.183,0.0015,0.5996,7,manhattan,0.9142
2025-12-29T22:03:14.287,0.0015,0.6494,7,manhattan,0.9172
2025-12-29T22:04:12.485,0.0015,0.699,7,manhattan,0.8504
2025-12-29T22:05:06.762,0.0015,0.749,7,manhattan,0.8529
2025-12-29T22:05:50.729,0.0015,0.799,7,manhattan,0.7748
2025-12-29T22:07:00.157,0.002,0.5,7,manhattan,0.9337
2025-12-29T22:08:09.148,0.002,0.55,7,manhattan,0.9188
2025-12-29T22:09:17.4,0.002,0.5996,7,manhattan,0.8351
2025-12-29T22:10:27.071,0.002,0.6494,7,manhattan,0.8541
2025-12-29T22:11:33.724,0.002,0.699,7,manhattan,0.9448
2025-12-29T22:12:41.256,0.002,0.749,7,manhattan,0.914
2025-12-29T22:13:49.856,0.002,0.799,7,manhattan,0.9133
2025-12-29T22:15:00.398,0.0025000002,0.5,7,manhattan,0.8835
2025-12-29T22:16:09.862,0.0025000002,0.55,7,manhattan,0.9323
2025-12-29T22:17:19.486,0.0025000002,0.5996,7,manhattan,0.8811
2025-12-29T22:18:28.6,0.0025000002,0.6494,7,manhattan,0.9188
2025-12-29T22:19:35.159,0.0025000002,0.699,7,manhattan,0.9146
2025-12-29T22:20:43.364,0.0025000002,0.749,7,manhattan,0.9322
2025-12-29T22:21:52.751,0.0025000002,0.799,7,manhattan,0.8648
