timestamp,window,threshold,kmer,metric,f1_score
2026-01-10T15:48:42.171,0.001,0.5,7,manhattan,0.9934
2026-01-10T15:49:06.102,0.001,0.55,7,manhattan,0.9877
2026-01-10T15:49:30.448,0.001,0.5996,7,manhattan,0.9916
2026-01-10T15:49:54.621,0.001,0.6494,7,manhattan,0.9854
2026-01-10T15:50:18.564,0.001,0.699,7,manhattan,0.9916
2026-01-10T15:50:40.984,0.001,0.749,7,manhattan,0.9882
2026-01-10T15:51:01.211,0.001,0.799,7,manhattan,0.9874
2026-01-10T15:51:24.153,0.0015,0.5,7,manhattan,0.9941
2026-01-10T15:51:48.532,0.0015,0.55,7,manhattan,0.9958
2026-01-10T15:52:11.864,0.0015,0.5996,7,manhattan,0.993
2026-01-10T15:52:37.135,0.0015,0.6494,7,manhattan,0.993
2026-01-10T15:53:02.321,0.0015,0.699,7,manhattan,0.9907
2026-01-10T15:53:28.578,0.0015,0.749,7,manhattan,0.9973
2026-01-10T15:53:55.364,0.0015,0.799,7,manhattan,0.9927
2026-01-10T15:54:18.155,0.002,0.5,7,manhattan,0.9926
2026-01-10T15:54:41.268,0.002,0.55,7,manhattan,0.9948
2026-01-10T15:55:05.759,0.002,0.5996,7,manhattan,0.994
2026-01-10T15:55:30.293,0.002,0.6494,7,manhattan,0.9927
2026-01-10T15:55:54.253,0.002,0.699,7,manhattan,0.9917
2026-01-10T15:56:17.683,0.002,0.749,7,manhattan,0.9884
2026-01-10T15:56:42.271,0.002,0.799,7,manhattan,0.9929
2026-01-10T15:57:06.132,0.0025000002,0.5,7,manhattan,0.9904
2026-01-10T15:57:30.031,0.0025000002,0.55,7,manhattan,0.9956
2026-01-10T15:57:52.664,0.0025000002,0.5996,7,manhattan,0.9937
2026-01-10T15:58:16.566,0.0025000002,0.6494,7,manhattan,0.9902
2026-01-10T15:58:45.177,0.0025000002,0.699,7,manhattan,0.9912
2026-01-10T15:59:14.271,0.0025000002,0.749,7,manhattan,0.9925
2026-01-10T15:59:43.707,0.0025000002,0.799,7,manhattan,0.9891
