timestamp,window,threshold,kmer,metric,f1_score
2026-01-24T13:06:44.937,0.0005,0.5,7,manhattan,0.9749
2026-01-24T13:08:25.808,0.0005,0.55,7,manhattan,0.9616
2026-01-24T13:09:51.981,0.0005,0.5996,7,manhattan,0.9508
2026-01-24T13:11:26.352,0.0005,0.6494,7,manhattan,0.9708
2026-01-24T13:13:05.776,0.0005,0.699,7,manhattan,0.9546
2026-01-24T13:14:41.264,0.0005,0.749,7,manhattan,0.9508
2026-01-24T13:16:26.742,0.0005,0.799,7,manhattan,0.9686
2026-01-24T13:17:59.903,0.001,0.5,7,manhattan,0.9697
2026-01-24T13:19:25.383,0.001,0.55,7,manhattan,0.9645
2026-01-24T13:20:58.914,0.001,0.5996,7,manhattan,0.9686
2026-01-24T13:22:30.68,0.001,0.6494,7,manhattan,0.9616
2026-01-24T13:24:08.742,0.001,0.699,7,manhattan,0.978
2026-01-24T13:25:43.991,0.001,0.749,7,manhattan,0.9606
2026-01-24T13:27:12.119,0.001,0.799,7,manhattan,0.9498
2026-01-24T13:28:54.05,0.0015,0.5,7,manhattan,0.9666
2026-01-24T13:30:25.198,0.0015,0.55,7,manhattan,0.9536
2026-01-24T13:32:06.822,0.0015,0.5996,7,manhattan,0.9366
2026-01-24T13:33:33.564,0.0015,0.6494,7,manhattan,0.9728
2026-01-24T13:35:05.664,0.0015,0.699,7,manhattan,0.9728
2026-01-24T13:36:44.754,0.0015,0.749,7,manhattan,0.9412
2026-01-24T13:38:16.847,0.0015,0.799,7,manhattan,0.9576
2026-01-24T13:39:44.382,0.002,0.5,7,manhattan,0.9626
2026-01-24T13:41:27.853,0.002,0.55,7,manhattan,0.9708
2026-01-24T13:43:06.11,0.002,0.5996,7,manhattan,0.9536
2026-01-24T13:44:45.811,0.002,0.6494,7,manhattan,0.9626
2026-01-24T13:46:21.496,0.002,0.699,7,manhattan,0.9728
2026-01-24T13:47:59.019,0.002,0.749,7,manhattan,0.9666
2026-01-24T13:49:28.454,0.002,0.799,7,manhattan,0.9468
2026-01-24T13:51:09.857,0.0025000002,0.5,7,manhattan,0.9194
2026-01-24T13:52:37.288,0.0025000002,0.55,7,manhattan,0.9517
2026-01-24T13:54:03.396,0.0025000002,0.5996,7,manhattan,0.9596
2026-01-24T13:55:37.98,0.0025000002,0.6494,7,manhattan,0.9616
2026-01-24T13:57:15.369,0.0025000002,0.699,7,manhattan,0.9606
2026-01-24T13:58:46.791,0.0025000002,0.749,7,manhattan,0.9488
2026-01-24T14:00:20.38,0.0025000002,0.799,7,manhattan,0.9516
